"workerid","proliferate.condition.x","CC","SpeakerGender","block1","file","item_type","list","list_genderMaxes","list_whichSpPoliticsFirst","matrix_clause","name","orientation","participant_beliefs","predicate","rt_block1","slide_number_block1","socialInfo","speakerGendersMaxes","topic","whichSpPoliticsFirst","assertiveness_rating","block2","democrat_rating","empathy_rating","femininity_rating","intelligence_rating","republican_rating","rt_block2","slide_number_block2","spBelief_rating","block3","projection","rt_block3","slide_number_block3","true_false","trial","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_asian","race_black","race_hawaiian","race_latino","race_native","race_otherRaceCheck","race_otherRaceText","race_white","state","state1year","whichAccent","error"
3862,"default","the 2020 election was legitimate","M","block1","M-R-Anthony.png","critical","list2","list2_1","list2_R","Jen didn't pretend that","Anthony","liberal",1,"pretend",4309,4,"R",1,"2020_election","R",0.78,"block2",0,0.01,0.02,0.03,1,17332,28,0.16,"block3",0,8895,44,NA,1,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","the minimum wage is too low","F","block1","F-D-Anna.png","critical","list2","list2_1","list2_R","Ken isn't right that","Anna","liberal",0.98,"be_right",3263,5,"D",1,"minimum_wage","R",0.48,"block2",1,0.8,0.42,0.62,0,159091,24,0.74,"block3",0,9084,48,NA,2,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","mask mandates are unnecessary","M","block1","M-R-Joseph.png","critical","list2","list2_1","list2_R","Wendy didn't acknowledge","Joseph","conservative",0.01,"acknowledge",4093,6,"R",1,"masks","R",0.77,"block2",0,0.03,0.02,0.13,1,17144,32,0.9,"block3",0.32,7278,58,NA,3,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","closing businesses during COVID was unnecessary","F","block1","F-D-Rachel.png","MC","list2","list2_1","list2_R",NA,"Rachel","conservative",0.01,NA,3541,7,"D",1,"lockdown","R",0.36,"block2",0.99,0.7,0.31,0.67,0,19238,30,0.18,"block3",0.98,20719,38,NA,4,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","COVID is an overhyped virus","F","block1","F-R-Kimberly.png","critical","list2","list2_1","list2_R","Mary didn't confess that","Kimberly","conservative",0.01,"confess",3028,8,"R",1,"COVID","R",0.65,"block2",0,0.08,0.24,0.09,1,14428,29,0.81,"block3",0,5778,53,NA,5,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","the uprising at the Capitol was patriotic","M","block1","M-D-Tim.png","critical","list2","list2_1","list2_R","Glenn doesn't see that","Tim","conservative",0.01,"see",4201,9,"D",1,"capitol_uprising","R",0.29,"block2",0.98,0.8,0.2,0.76,0,26418,34,0,"block3",0.24,10296,55,NA,6,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","it is too hard to get an abortion","F","block1","F-R-Amy.png","critical","list2","list2_1","list2_R","Grace didn't confess that","Amy","liberal",1,"confess",5853,10,"R",1,"abortion","R",0.69,"block2",0,0.07,0.24,0.2,1,18514,27,0.11,"block3",0.11,24031,56,NA,7,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","the capital of the US is in Ohio",NA,"block1","NA.png","O","list2","list2_1","list2_R",NA,NA,NA,0,NA,5421,11,NA,1,"capital","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","Trump's policies improved the American economy","F","block1","F-D-Elizabeth.png","critical","list2","list2_1","list2_R","Tony isn't right that","Elizabeth","conservative",0,"be_right",3720,12,"D",1,"Trump_economy","R",0.39,"block2",0.99,0.8,0.56,0.77,0,33221,35,0.06,"block3",0,6369,50,NA,9,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
3862,"default","it is too easy to buy guns","F","block1","F-D-Helen.png","critical","list2","list2_1","list2_R","Owen doesn't see that","Helen","liberal",1,"see",3703,13,"D",1,"gun_laws","R",0.5,"block2",0.98,0.77,0.63,0.7,0,21689,26,0.84,"block3",0.85,9222,54,NA,10,"default","Language interpretation in some way","No",36,"Yes",NA,4,"Male",5,"none",NA,"Dem",0.09,0,0,0,0,0,0,NA,1,"NJ","['NJ']","none",NA
