workerid,proliferate.condition,CC,SpeakerGender,assertiveness_rating,block,democrat_rating,empathy_rating,femininity_rating,file,intelligence_rating,item_type,list,list_genderMaxes,list_whichSpPoliticsFirst,matrix_clause,name,orientation,participant_beliefs,predicate,projection,republican_rating,rt,slide_number_in_experiment,socialInfo,spBelief_rating,speakerGendersMaxes,topic,true_false,whichSpPoliticsFirst,error
3862,default,the 2020 election was legitimate,M,,block1,,,,M-R-Anthony.png,,critical,list2,list2_1,list2_R,Jen didn't pretend that,Anthony,liberal,1,pretend,,,4309,4,R,,1,2020_election,,R,
3862,default,the minimum wage is too low,F,,block1,,,,F-D-Anna.png,,critical,list2,list2_1,list2_R,Ken isn't right that,Anna,liberal,0.98,be_right,,,3263,5,D,,1,minimum_wage,,R,
3862,default,mask mandates are unnecessary,M,,block1,,,,M-R-Joseph.png,,critical,list2,list2_1,list2_R,Wendy didn't acknowledge,Joseph,conservative,0.01,acknowledge,,,4093,6,R,,1,masks,,R,
3862,default,closing businesses during COVID was unnecessary,F,,block1,,,,F-D-Rachel.png,,MC,list2,list2_1,list2_R,NA,Rachel,conservative,0.01,NA,,,3541,7,D,,1,lockdown,,R,
3862,default,COVID is an overhyped virus,F,,block1,,,,F-R-Kimberly.png,,critical,list2,list2_1,list2_R,Mary didn't confess that,Kimberly,conservative,0.01,confess,,,3028,8,R,,1,COVID,,R,
3862,default,the uprising at the Capitol was patriotic,M,,block1,,,,M-D-Tim.png,,critical,list2,list2_1,list2_R,Glenn doesn't see that,Tim,conservative,0.01,see,,,4201,9,D,,1,capitol_uprising,,R,
3862,default,it is too hard to get an abortion,F,,block1,,,,F-R-Amy.png,,critical,list2,list2_1,list2_R,Grace didn't confess that,Amy,liberal,1,confess,,,5853,10,R,,1,abortion,,R,
3862,default,the capital of the US is in Ohio,NA,,block1,,,,NA.png,,O,list2,list2_1,list2_R,NA,NA,NA,0,NA,,,5421,11,NA,,1,capital,,R,
3862,default,Trump's policies improved the American economy,F,,block1,,,,F-D-Elizabeth.png,,critical,list2,list2_1,list2_R,Tony isn't right that,Elizabeth,conservative,0,be_right,,,3720,12,D,,1,Trump_economy,,R,
3862,default,it is too easy to buy guns,F,,block1,,,,F-D-Helen.png,,critical,list2,list2_1,list2_R,Owen doesn't see that,Helen,liberal,1,see,,,3703,13,D,,1,gun_laws,,R,
3862,default,medicaid is underfunded,M,,block1,,,,M-R-Jason.png,,critical,list2,list2_1,list2_R,Allison didn't acknowledge,Jason,liberal,0.99,acknowledge,,,3580,14,R,,1,medicaid,,R,
3862,default,the rich are taxed too much,F,,block1,,,,F-R-Lily.png,,MC,list2,list2_1,list2_R,NA,Lily,conservative,0.01,NA,,,4019,15,R,,1,taxes,,R,
3862,default,Trump handled the pandemic well,M,,block1,,,,M-D-James.png,,critical,list2,list2_1,list2_R,Danny didn't suggest that,James,conservative,0,suggest,,,3020,16,D,,1,Trump_pandemic,,R,
3862,default,the military is underfunded,F,,block1,,,,F-R-Sarah.png,,critical,list2,list2_1,list2_R,Emma didn't pretend that,Sarah,conservative,0,pretend,,,4419,17,R,,1,military,,R,
3862,default,U.S. presidential elections are held in November,NA,,block1,,,,NA.png,,O,list2,list2_1,list2_R,NA,NA,NA,1,NA,,,4497,18,NA,,1,elections,,R,
3862,default,immigrants support the economy,M,,block1,,,,M-D-Daniel.png,,critical,list2,list2_1,list2_R,Ben didn't suggest that,Daniel,liberal,1,suggest,,,4141,19,D,,1,immigrants,,R,
3862,default,the rich are taxed too much,F,0.68,block2,0,0.09,0.5,F-R-Lily.png,0.26,MC,list2,list2_1,list2_R,NA,Lily,conservative,,NA,,1,27578,21,R,0.85,1,taxes,,R,
3862,default,the military is underfunded,F,0.72,block2,0,0.02,0.12,F-R-Sarah.png,0.07,critical,list2,list2_1,list2_R,Emma didn't pretend that,Sarah,conservative,,pretend,,1,20614,22,R,0.62,1,military,,R,
