"workerid","proliferate.condition.x","CC","SpeakerGender","block1","file","item_type","list","list_genderMaxes","list_whichSpPoliticsFirst","matrix_clause","name","orientation","participant_beliefs","predicate","rt_block1","slide_number_block1","socialInfo","speakerGendersMaxes","topic","whichSpPoliticsFirst","assertiveness_rating","block2","democrat_rating","empathy_rating","femininity_rating","intelligence_rating","location_rating","republican_rating","rt_block2","slide_number_block2","spBelief_rating","state_correct","state_incorrect","state_type","block3","projection","rt_block3","slide_number_block3","true_false","trial","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_asian","race_black","race_hawaiian","race_latino","race_native","race_otherRaceCheck","race_otherRaceText","race_white","state","state1year","whichAccent","error"
4263,"default","COVID is an overhyped virus","M","block1","M-N-Daniel.png","critical","list2","list2_2","list2_NS","Mary doesn't see that","Daniel","conservative",0.01,"see",3826,4,"N",2,"COVID","NS",0.71,"block2",0.83,0.75,0.11,0.82,1,0.19,27960,22,0.11,"Washington","Delaware","CORRECT","block3",0.86,3627,55,NA,1,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","the military is underfunded","F","block1","F-N-Lisa.png","critical","list2","list2_2","list2_NS","Emma isn't right that","Lisa","conservative",0,"be_right",5238,5,"N",2,"military","NS",0.47,"block2",0.76,0.49,0.9,0.61,1,0.23,14598,33,0.35,"Oregon","Wyoming","CORRECT","block3",0.75,16673,39,NA,2,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","medicaid is underfunded","F","block1","F-N-Michelle.png","critical","list2","list2_2","list2_NS","Allison didn't admit that","Michelle","liberal",0.98,"admit",3042,6,"N",2,"medicaid","NS",0.67,"block2",0.69,0.68,0.48,0.69,0,0.22,18608,29,0.81,"Pennsylvania","Wisconsin","INCORRECT","block3",0.79,5625,49,NA,3,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","it is too easy to buy guns","F","block1","F-S-Sarah.png","critical","list2","list2_2","list2_NS","Owen doesn't know that","Sarah","liberal",1,"know",4158,7,"S",2,"gun_laws","NS",0.39,"block2",0.13,0.71,0.61,0.51,0,0.82,15497,25,0.18,"Kentucky","Florida","INCORRECT","block3",0.98,7279,51,NA,4,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","immigrants support the economy","F","block1","F-S-Donna.png","critical","list2","list2_2","list2_NS","Ben didn't confess that","Donna","liberal",0.97,"confess",2276,8,"S",2,"immigrants","NS",0.56,"block2",0.34,0.52,0.69,0.61,0,0.67,24636,23,0.38,"Tennessee","South Dakota","INCORRECT","block3",0.86,5613,53,NA,5,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","Trump handled the pandemic well","F","block1","F-S-Amy.png","critical","list2","list2_2","list2_NS","Danny didn't confess that","Amy","conservative",0.1,"confess",6058,9,"S",2,"Trump_pandemic","NS",0.43,"block2",0.33,0.4,0.8,0.39,0,0.63,35839,26,0.53,"Arkansas","Conneticut","INCORRECT","block3",0.81,4345,52,NA,6,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","U.S. presidential elections are held in November",NA,"block1","NA.png","O","list2","list2_2","list2_NS",NA,NA,NA,0.97,NA,2846,10,NA,2,"elections","NS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","the rich are taxed too much","M","block1","M-N-Jacob.png","MC","list2","list2_2","list2_NS",NA,"Jacob","conservative",0,NA,4412,11,"N",2,"taxes","NS",0.68,"block2",0.87,0.71,0.1,0.76,1,0.11,14011,28,0.1,"Massachusetts","Vermont","CORRECT","block3",1,3067,45,NA,8,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","it is too hard to get an abortion","M","block1","M-N-Tim.png","critical","list2","list2_2","list2_NS","Grace doesn't see that","Tim","liberal",1,"see",3010,12,"N",2,"abortion","NS",0.46,"block2",0.89,0.66,0.24,0.75,0,0.13,9873,34,0.69,"California","Montana","INCORRECT","block3",1,3963,61,NA,9,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
4263,"default","the uprising at the Capitol was patriotic","M","block1","M-S-Michael.png","critical","list2","list2_2","list2_NS","Glenn doesn't know that","Michael","conservative",0,"know",2648,13,"S",2,"capitol_uprising","NS",0.43,"block2",0.3,0.67,0.24,0.55,0,0.78,20308,24,0.42,"Georgia","Nevada","INCORRECT","block3",1,2911,58,NA,10,"default","Perceptions of people's political beliefs based on where they live","Yes",24,"Yes",NA,4,"Female",1,NA,NA,"Dem",0.06,0,0,0,0,0,0,NA,1,"KY","['KY', 'TX']","Southern",NA
