workerid,proliferate.condition,about,accent,age,american,comments,education,gender,income,language,otherParty,party,politics,race_asian,race_black,race_hawaiian,race_latino,race_native,race_otherRaceCheck,race_otherRaceText,race_white,state,state1year,whichAccent,error
4263,default,Perceptions of people's political beliefs based on where they live,Yes,24,Yes,,4,Female,1,,,Dem,0.06,0,0,0,0,0,0,,1,KY,"['KY', 'TX']",Southern,
4089,default,How much personal opinions affect how you interpret what others say,Yes,39,Yes,,2,Female,3,n/a,Democratic socialist,Other,0,0,0,0,0,0,0,,1,OH,"['MD', 'OH', 'VA']",somewhat southern,
4203,default,Impressions of people.,No,44,Yes,No comments.,2,Male,4,,,Dem,0.48,0,0,0,0,0,0,,1,NY,['NY'],,
4243,default,Perceptions of different people.,No,44,Yes,,2,Female,0,,,Dem,0.17,0,0,0,1,0,0,,1,OH,"['IN', 'MI', 'OH']",,
4105,default,Political beliefs,No,46,Yes,no comments.,1,Female,0,n/a,,Dem,0.48,0,0,0,0,0,0,,1,NV,['NV'],,
4299,default,How people judge peoples political views based on looks/where they are from.,No,36,Yes,No other comments.,4,Female,0,,,Dem,0.07,0,0,0,0,0,0,,1,OH,"['CA', 'OH']",,
4088,default,politics and views,No,46,Yes,,3,Male,4,english,,Rep,0.69,0,0,0,0,0,0,,1,MN,['MN'],,
4116,default,Political views and perceptions based on race,Yes,26,Yes,,2,Male,2,,,Rep,0.61,0,0,0,0,0,0,,1,TX,['TX'],Southern,
4348,default,How we perceive people in relation to political views. ,No,47,Yes,"Interesting experiment, thank you. ",1,Female,1,English,,Dem,0,0,0,0,0,0,0,,1,GA,"['GA', 'OH']",none,
4244,default,To better understand how people view political ideology through demographics.,No,36,Yes,,3,Male,5,,,Lib,0.49,0,0,0,0,0,0,,1,NM,"['CA', 'HI', 'KY', 'ME', 'MA', 'NM', 'NY']",,
4181,default,Whether someone is certain about something depending on what they hear from others.,No,31,Yes,,3,Female,2,,None,Other,0.55,0,0,0,0,0,0,,1,IL,"['IL', 'IA']",,
4148,default,Looking at what we think of other people based on where they live and what they say.,No,69,Yes,"All or most of the subjects seemed to be of a certain age - 25 to 35, or so.",3,Female,1,none,,Dem,0.09,0,0,0,0,0,0,,1,OH,"['OH', 'WV']",,
4216,default,Views of others,No,36,Yes,,2,Male,0,,,Dem,0.1,0,0,0,0,0,0,,1,WA,"['GA', 'ID', 'MS', 'OR']",,
4183,default,our perception of others based on their looks and where they live,Yes,34,Yes,,4,Female,6,none,,Dem,0.05,0,0,0,0,0,0,,1,NJ,['NJ'],new york/maryland ,
4249,default,To see people's thoughts and biases from locations around the US.,Yes,26,Yes,This was a very cool and entertaining experiment. I would like more of these.,3,Female,4,N/A,,Lib,0.6,0,0,0,0,0,0,,1,AL,['AL'],Southern Accent,
4345,default,personal views,No,24,Yes,,3,Female,2,,,Dem,0.16,0,0,0,0,0,0,,1,IL,['NC'],,
4302,default,Seeing how people from different places and looks align politically.,No,19,Yes,,-1,Female,7,none,,Rep,0.55,0,0,0,0,0,0,,1,WI,['WI'],,
4038,default,About how we perceive people and their political views based on their demographic information.,No,26,Yes,,3,Female,1,,,Lib,0,0,0,0,0,0,0,,1,IN,['IN'],,
4103,default,Perceptions of other peoples' beliefs,No,40,Yes,,4,Female,3,,,Dem,0.23,0,0,0,0,0,0,,1,NY,['NY'],,
4250,default,How people with certain beliefs and ideals are perceived by others with opposite beliefs.,No,31,Yes,,3,Male,1,,,Dem,0.26,0,0,0,0,0,0,,1,MO,['MO'],,
4222,default,Judgment,Yes,28,Yes,,2,Male,2,,,Dem,0.39,0,1,0,0,0,0,,0,SC,['SC'],country,
4134,default,"What people's perceptions are based on age, race, income and political affiliation.",No,63,Yes,,3,Female,0,,,Rep,0.79,0,0,0,0,0,0,,1,IN,"['CA', 'HI', 'IN', 'MD', 'NC']",,
4257,default,"political assumptions based on race, gender, and home state, as well as interpreting a persons sureness based on diction.",Yes,28,Yes,,3,Female,3,none,,Dem,0,0,0,0,0,0,0,,1,NC,['CA'],Californian,
4318,default,I think the purpose is to understand how people perceive other peoples political leanings.,No,30,Yes,No problems.,2,Male,5,None,,Rep,0.88,0,0,0,0,0,0,,1,CA,['CA'],N/A,
4334,default,"Assessing assertiveness, intelligence, feminity, and empathy based on individuals' political views, where they are from, their age, how they look, and their race.",No,20,Yes,N/A,2,Female,5,Korean,,Dem,0.13,1,0,0,0,0,0,,0,MA,['NY'],,
4102,default,How someone's perceptions and judgments about a person influence how they interpret what they say,No,34,Yes,,3,Female,1,none,socialist/communist,-1,0.04,0,0,0,0,0,0,,1,NJ,"['NJ', 'NY', 'NC', 'VT']",,
4329,default,,No,24,Yes,,2,Other,0,,,Dem,0.02,0,0,0,0,0,0,,1,TX,['CA'],,
4282,default,Understood language reading between the lines,No,57,Yes,,2,Male,1,,,Rep,0.69,0,0,0,0,0,0,,1,PA,['PA'],,
4149,default,I'm not sure.,Yes,53,Yes,,2,Female,2,,,Dem,0.19,0,0,0,0,0,0,,1,FL,['FL'],Southern,
4145,default,biases based on politics,Yes,34,Yes,,2,Other,1,,anarchist/socialist,Other,0,0,0,0,0,0,0,,1,CA,"['NV', 'TN']",southern,
4191,default,Comparing how different people think about others based on limited information,No,50,Yes,,3,Female,1,German,,Dem,0.15,0,0,0,0,0,0,,1,IL,['IL'],,
4141,default,First impressions and political beliefs.,No,51,Yes,Everything was clear and easy to understand.,2,Female,3,English,,Rep,0.79,0,0,0,0,0,0,,1,AZ,['IA'],,
4352,default,Perceptions of people based on region they are from and looks.,Yes,35,Yes,,3,Female,5,none,,Dem,0.44,0,0,0,0,0,0,,1,NJ,"['NJ', 'NY', 'PA']",NY/NJ,
4339,default,political beliefs and bias,No,32,Yes,,3,Male,2,,,Rep,0.65,0,0,0,0,0,0,,1,TX,['TX'],,
4050,default,Seeing political perspectives ,No,27,Yes,,3,Female,3,None,,Dem,0.49,0,0,0,0,0,0,,1,FL,['FL'],n/a,
4217,default,Assessing political viewpoints based on region and other limited information.,Yes,35,Yes,This was an interesting study.  I was surprised at times and validated in others by the beliefs of certain people in the experiment.,1,Male,0,N/A,,Dem,0.22,0,0,0,0,0,0,,1,OK,"['IN', 'KY', 'NV', 'OH', 'OK']",Southwestern,
4315,default,Perceptions of peoples' politics based on location and background,Yes,19,Yes,,2,Male,5,,,Dem,0.09,0,0,0,0,0,0,,1,NY,"['NY', 'SC', 'VA']",British,
4034,default,Seeing how people view others based on political opinions.,No,19,Yes,No comments,2,Female,5,None,,Rep,0.5,0,0,0,0,0,0,,1,CA,['CA'],None,
4195,default,My perception of political views based on an image and basic information.,Yes,22,Yes,"Nope, thanks!",3,Female,0,None,,Dem,0.25,0,0,0,0,0,0,,1,TX,"['TN', 'TX']",Southern,
4192,default,Political attitudes,No,46,Yes,,3,Male,3,none,,Lib,0.49,0,0,0,0,0,0,,1,TN,"['FL', 'KS', 'LA', 'MS', 'NC', 'TN', 'TX', 'WA']",,
4043,default,views of people based on demographics,No,34,Yes,,3,Female,2,,,Dem,0.35,0,0,0,0,0,0,,1,NC,['NC'],,
4168,default,I am not sure,No,58,Yes,,3,Female,5,NA,Independent,Other,0.5,0,0,0,0,0,0,,1,NM,['NM'],N,
4245,default,To gauge how people view others on their political beliefts.,No,37,Yes,Everything ran smoothly!,2,Male,2,None,,Rep,0.76,0,0,0,0,0,0,,1,TX,['TX'],None,
4095,default,Impressions of people from different areas of the country and interpreting their speech ,Yes,23,Yes,,2,Female,0,,,Dem,0,0,0,0,0,0,0,,1,DE,['DE'],Delaware/Philadelphia,
4094,default,I do not know.,No,51,Yes,,3,Female,5,N/A,,Dem,0.43,0,0,0,0,0,0,,1,OH,"['FL', 'MI', 'OH']",,
4342,default,I have no idea,Yes,38,Yes,"this was an interesting study, thank you for the opportunity",3,Male,7,english,independent,-1,0.68,0,0,0,0,0,0,,1,NH,"['MA', 'NH']",boston,
4030,default,Perception of geography on political affiliation,No,23,Yes,,3,Female,2,,,Dem,0.01,0,0,0,0,0,0,,1,FL,"['FL', 'NJ']",,
