workerid,proliferate.condition,CC,SpeakerGender,assertiveness_rating,block,democrat_rating,empathy_rating,femininity_rating,file,intelligence_rating,item_type,list,list_genderMaxes,list_whichSpPoliticsFirst,location_rating,matrix_clause,name,orientation,participant_beliefs,predicate,projection,republican_rating,rt,slide_number_in_experiment,socialInfo,spBelief_rating,speakerGendersMaxes,state_correct,state_incorrect,state_type,topic,true_false,whichSpPoliticsFirst,error
4263,default,COVID is an overhyped virus,M,,block1,,,,M-N-Daniel.png,,critical,list2,list2_2,list2_NS,,Mary doesn't see that,Daniel,conservative,0.01,see,,,3826,4,N,,2,,,,COVID,,NS,
4263,default,the military is underfunded,F,,block1,,,,F-N-Lisa.png,,critical,list2,list2_2,list2_NS,,Emma isn't right that,Lisa,conservative,0,be_right,,,5238,5,N,,2,,,,military,,NS,
4263,default,medicaid is underfunded,F,,block1,,,,F-N-Michelle.png,,critical,list2,list2_2,list2_NS,,Allison didn't admit that,Michelle,liberal,0.98,admit,,,3042,6,N,,2,,,,medicaid,,NS,
4263,default,it is too easy to buy guns,F,,block1,,,,F-S-Sarah.png,,critical,list2,list2_2,list2_NS,,Owen doesn't know that,Sarah,liberal,1,know,,,4158,7,S,,2,,,,gun_laws,,NS,
4263,default,immigrants support the economy,F,,block1,,,,F-S-Donna.png,,critical,list2,list2_2,list2_NS,,Ben didn't confess that,Donna,liberal,0.97,confess,,,2276,8,S,,2,,,,immigrants,,NS,
4263,default,Trump handled the pandemic well,F,,block1,,,,F-S-Amy.png,,critical,list2,list2_2,list2_NS,,Danny didn't confess that,Amy,conservative,0.1,confess,,,6058,9,S,,2,,,,Trump_pandemic,,NS,
4263,default,U.S. presidential elections are held in November,NA,,block1,,,,NA.png,,O,list2,list2_2,list2_NS,,NA,NA,NA,0.97,NA,,,2846,10,NA,,2,,,,elections,,NS,
4263,default,the rich are taxed too much,M,,block1,,,,M-N-Jacob.png,,MC,list2,list2_2,list2_NS,,NA,Jacob,conservative,0,NA,,,4412,11,N,,2,,,,taxes,,NS,
4263,default,it is too hard to get an abortion,M,,block1,,,,M-N-Tim.png,,critical,list2,list2_2,list2_NS,,Grace doesn't see that,Tim,liberal,1,see,,,3010,12,N,,2,,,,abortion,,NS,
4263,default,the uprising at the Capitol was patriotic,M,,block1,,,,M-S-Michael.png,,critical,list2,list2_2,list2_NS,,Glenn doesn't know that,Michael,conservative,0,know,,,2648,13,S,,2,,,,capitol_uprising,,NS,
4263,default,the minimum wage is too low,M,,block1,,,,M-S-Anthony.png,,critical,list2,list2_2,list2_NS,,Ken didn't suggest that,Anthony,liberal,1,suggest,,,3484,14,S,,2,,,,minimum_wage,,NS,
4263,default,mask mandates are unnecessary,F,,block1,,,,F-N-Anna.png,,critical,list2,list2_2,list2_NS,,Wendy didn't admit that,Anna,conservative,0,admit,,,5234,15,N,,2,,,,masks,,NS,
4263,default,Trump's policies improved the American economy,M,,block1,,,,M-S-Ryan.png,,critical,list2,list2_2,list2_NS,,Tony didn't suggest that,Ryan,conservative,0.14,suggest,,,5376,16,S,,2,,,,Trump_economy,,NS,
4263,default,closing businesses during COVID was unnecessary,F,,block1,,,,F-S-Lily.png,,MC,list2,list2_2,list2_NS,,NA,Lily,conservative,0,NA,,,3105,17,S,,2,,,,lockdown,,NS,
4263,default,the 2020 election was legitimate,M,,block1,,,,M-N-John.png,,critical,list2,list2_2,list2_NS,,Jen isn't right that,John,liberal,0.99,be_right,,,2982,18,N,,2,,,,2020_election,,NS,
4263,default,the capital of the US is in Ohio,NA,,block1,,,,NA.png,,O,list2,list2_2,list2_NS,,NA,NA,NA,0,NA,,,2865,19,NA,,2,,,,capital,,NS,
4263,default,the 2020 election was legitimate,M,0.73,block2,0.93,0.82,0.09,M-N-John.png,0.87,critical,list2,list2_2,list2_NS,1,Jen isn't right that,John,liberal,,be_right,,0.1,18461,21,N,0.97,2,California,West Virginia,CORRECT,2020_election,,NS,
