"workerid","proliferate.condition.x","CC","SpeakerGender","block1","file","item_type","list","list_whichSpPoliticsFirst","matrix_clause","name","orientation","participant_beliefs","predicate","rt_block1","slide_number_block1","socialInfo","topic","whichSpPoliticsFirst","Southern_rating","age_correct","age_incorrect","age_rating","age_type","assertiveness_rating","block2","compQuestionType","democrat_rating","empathy_rating","femininity_rating","intelligence_rating","matrixName_correct","matrixName_incorrect","matrixName_type","republican_rating","rt_block2","slide_number_block2","spBelief_rating","block3","projection","rt_block3","slide_number_block3","true_false","trial","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_asian","race_black","race_hawaiian","race_latino","race_native","race_otherRaceCheck","race_otherRaceText","race_white","state","state1year","whichAccent","error","raceCollapsed","multipleRaces"
4604,"default","medicaid is underfunded","F","block1","F-S-Sarah.png","critical","list2","list2_S","Allison doesn't think that","Sarah","liberal",0.84,"think",8161,4,"S","medicaid","S",0.71,30,37,1,"CORRECT",0.3,"block2","age_question",0.22,0.75,1,0.34,"Allison","Bill","CORRECT",0.73,28955,27,0.12,"block3",0.94,14696,41,NA,1,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","it is too easy to buy guns","M","block1","M-N-Daniel.png","critical","list2","list2_S","Owen doesn't know that","Daniel","liberal",1,"know",5586,5,"N","gun_laws","S",0,34,21,1,"CORRECT",0.87,"block2","name_question",0.13,0.36,0.01,0.8,"Owen","Olivia","CORRECT",0.89,33959,22,0.08,"block3",1,27383,35,NA,2,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","COVID is an overhyped virus","M","block1","M-S-Anthony.png","critical","list2","list2_S","Mary didn't suggest that","Anthony","conservative",0,"suggest",3553,6,"S","covid","S",1,29,40,0,"INCORRECT",0.76,"block2","name_question",0,0.74,0.04,0,"Mary","Sandra","INCORRECT",1,29960,26,1,"block3",0.08,15980,51,NA,3,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","the 2020 election was legitimate","M","block1","M-S-Ryan.png","critical","list2","list2_S","Jen didn't confess that","Ryan","liberal",1,"confess",4127,7,"S","2020_election","S",1,25,39,0,"INCORRECT",0.26,"block2","name_question",0.04,0.67,0,0.14,"Jen","Shari","INCORRECT",0.92,37882,32,0.25,"block3",0.2,19884,37,NA,4,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","Trump's policies improved the American economy","F","block1","F-N-Lisa.png","critical","list2","list2_S","Tony isn't annoyed that","Lisa","conservative",0,"be_annoyed",5077,8,"N","Trump_economy","S",0.26,34,20,1,"CORRECT",0.51,"block2","age_question",0.47,0.76,0.98,0.66,"Tony","Sam","CORRECT",0.58,31431,31,0.49,"block3",0.09,16351,52,NA,5,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","mask mandates are unnecessary","F","block1","F-S-Amy.png","critical","list2","list2_S","Wendy doesn't think that","Amy","conservative",0.04,"think",4140,9,"S","masks","S",1,26,20,1,"CORRECT",0.39,"block2","name_question",0,0.47,1,0.19,"Wendy","Danielle","CORRECT",1,30212,30,1,"block3",0.05,13367,48,NA,6,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","the capital of the US is in Ohio",NA,"block1","NA.png","O","list2","list2_S",NA,NA,NA,0,NA,4647,10,NA,"capital","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","it is too hard to get an abortion","M","block1","M-S-Joseph.png","critical","list2","list2_S","Grace didn't suggest that","Joseph","liberal",0,"suggest",7477,11,"S","abortion","S",0.09,27,37,0,"INCORRECT",0.73,"block2","name_question",0.76,0.48,0.03,0.62,"Grace","Marie","INCORRECT",0.47,32647,21,0.15,"block3",0.27,20224,39,NA,8,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","the military is underfunded","F","block1","F-S-Donna.png","critical","list2","list2_S","Emma didn't confess that","Donna","conservative",0.91,"confess",3704,12,"S","military","S",0.03,36,42,1,"CORRECT",0.79,"block2","age_question",0.87,0.64,1,0.49,"Emma","Fran","CORRECT",0.06,31816,33,0.97,"block3",0.96,15723,54,NA,9,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","U.S. presidential elections are held in November",NA,"block1","NA.png","O","list2","list2_S",NA,NA,NA,1,NA,5499,13,NA,"elections","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","Trump handled the pandemic well","M","block1","M-N-Tim.png","critical","list2","list2_S","Danny doesn't see that","Tim","conservative",0,"see",3844,14,"N","Trump_pandemic","S",0.33,26,19,0.98,"CORRECT",0.34,"block2","name_question",0.29,0.87,0.03,0.22,"Danny","Judith","CORRECT",0.64,28798,23,0.81,"block3",0.12,17260,43,NA,11,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","the uprising at the Capitol was patriotic","M","block1","M-N-John.png","critical","list2","list2_S","Glenn doesn't know that","John","conservative",0,"know",4099,15,"N","capitol_uprising","S",0.1,30,31,1,"CORRECT",0.82,"block2","age_question",0.51,0.78,0.02,0.62,"Glenn","Charlotte","CORRECT",0.53,35227,24,0.21,"block3",0.95,12622,53,NA,12,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","immigrants support the economy","F","block1","F-N-Helen.png","critical","list2","list2_S","Ben doesn't see that","Helen","liberal",1,"see",7258,16,"N","immigrants","S",0.1,29,21,0,"INCORRECT",0.81,"block2","age_question",0.78,0.61,1,0.66,"Ben","Elena","INCORRECT",0.19,29501,29,0.86,"block3",0.89,27344,50,NA,13,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","the minimum wage is too low","F","block1","F-N-Elizabeth.png","critical","list2","list2_S","Ken isn't annoyed that","Elizabeth","liberal",1,"be_annoyed",3032,17,"N","minimum_wage","S",0.19,27,24,0,"INCORRECT",0.78,"block2","name_question",0.2,0.79,0.92,0.19,"Ken","Sally","INCORRECT",0.32,51075,20,0.81,"block3",0.9,12769,45,NA,14,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4604,"default","closing businesses during COVID was unnecessary","F","block1","F-S-Lily.png","MC","list2","list2_S",NA,"Lily","conservative",0.09,NA,3882,18,"S","lockdown","S",0,22,42,0,"INCORRECT",0.63,"block2","age_question",0.12,0.79,1,0.52,"the lockdown","vaccine mandates","INCORRECT",0.8,36076,25,0.86,"block3",1,12411,49,NA,15,"default","Perception of someone's opinion by how they phrase a sentence.","No",46,"Yes",NA,2,"Male",4,"none","Constitution Party","Other",0.42,NA,NA,0,NA,NA,NA,NA,"white","MS","['MS', 'TN']",NA,NA,"white",0
4697,"default","the 2020 election was legitimate","M","block1","M-N-Tim.png","critical","list2","list2_NS","Jen didn't suggest that","Tim","liberal",0.92,"suggest",5725,4,"N","2020_election","NS",0.53,26,24,0,"INCORRECT",0.49,"block2","name_question",0.51,0.5,0,0.37,"Jen","Sandra","INCORRECT",0.51,31560,21,0.51,"block3",0,14295,55,NA,1,"default","I think this experiment wanted to see if we associated a Southern accent with more conservative views.","No",34,"Yes","I sort of didn't like how varied the volume of the different speakers were. I had to adjust the volume for every speaker. In some cases, even individual speakers would be super loud at the very start of their sentence, and then they'd become really quiet after a few seconds.",3,"Male",4,"Japanese","Independents","Other",0.5,"asian",NA,0,NA,NA,NA,NA,NA,"HI","['AZ', 'HI']",NA,NA,"asian",0
4697,"default","the minimum wage is too low","F","block1","F-S-Donna.png","critical","list2","list2_NS","Ken didn't say that","Donna","liberal",0.95,"say",5759,5,"S","minimum_wage","NS",0.91,36,20,1,"CORRECT",0.57,"block2","age_question",0.35,0.5,0.7,0.5,"Ken","Elena","CORRECT",0.71,25128,24,0.33,"block3",0.5,15752,48,NA,2,"default","I think this experiment wanted to see if we associated a Southern accent with more conservative views.","No",34,"Yes","I sort of didn't like how varied the volume of the different speakers were. I had to adjust the volume for every speaker. In some cases, even individual speakers would be super loud at the very start of their sentence, and then they'd become really quiet after a few seconds.",3,"Male",4,"Japanese","Independents","Other",0.5,"asian",NA,0,NA,NA,NA,NA,NA,"HI","['AZ', 'HI']",NA,NA,"asian",0
4697,"default","closing businesses during COVID was unnecessary","F","block1","F-N-Ashley.png","MC","list2","list2_NS",NA,"Ashley","conservative",0.04,NA,2896,6,"N","lockdown","NS",0.52,28,41,0,"INCORRECT",0.58,"block2","age_question",0.51,0.52,0.51,0.51,"the lockdown","capitol punishment","INCORRECT",0.51,43074,20,0.51,"block3",1,13264,36,NA,3,"default","I think this experiment wanted to see if we associated a Southern accent with more conservative views.","No",34,"Yes","I sort of didn't like how varied the volume of the different speakers were. I had to adjust the volume for every speaker. In some cases, even individual speakers would be super loud at the very start of their sentence, and then they'd become really quiet after a few seconds.",3,"Male",4,"Japanese","Independents","Other",0.5,"asian",NA,0,NA,NA,NA,NA,NA,"HI","['AZ', 'HI']",NA,NA,"asian",0
4697,"default","it is too easy to buy guns","M","block1","M-S-Joseph.png","critical","list2","list2_NS","Owen didn't pretend that","Joseph","liberal",0.54,"pretend",3112,7,"S","gun_laws","NS",0.82,27,43,1,"CORRECT",0.56,"block2","name_question",0.4,0.51,0,0.51,"Owen","Sally","CORRECT",0.65,33808,26,0.12,"block3",1,39903,43,NA,4,"default","I think this experiment wanted to see if we associated a Southern accent with more conservative views.","No",34,"Yes","I sort of didn't like how varied the volume of the different speakers were. I had to adjust the volume for every speaker. In some cases, even individual speakers would be super loud at the very start of their sentence, and then they'd become really quiet after a few seconds.",3,"Male",4,"Japanese","Independents","Other",0.5,"asian",NA,0,NA,NA,NA,NA,NA,"HI","['AZ', 'HI']",NA,NA,"asian",0
4697,"default","the military is underfunded","F","block1","F-N-Elizabeth.png","critical","list2","list2_NS","Emma didn't suggest that","Elizabeth","conservative",0.49,"suggest",2768,8,"N","military","NS",0.25,27,39,1,"CORRECT",0.49,"block2","name_question",0.53,0.51,0.71,0.48,"Emma","Danielle","CORRECT",0.53,18295,30,0.52,"block3",1,20143,38,NA,5,"default","I think this experiment wanted to see if we associated a Southern accent with more conservative views.","No",34,"Yes","I sort of didn't like how varied the volume of the different speakers were. I had to adjust the volume for every speaker. In some cases, even individual speakers would be super loud at the very start of their sentence, and then they'd become really quiet after a few seconds.",3,"Male",4,"Japanese","Independents","Other",0.5,"asian",NA,0,NA,NA,NA,NA,NA,"HI","['AZ', 'HI']",NA,NA,"asian",0
