"workerid","proliferate.condition.x","CC","list","list_firstSocCond","orientation","response","rt","slide_number_in_experiment","socialCondition","topic","trigger_class","whichSocConditionFirst","error.x","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_otherRaceText","race_white","state","whichAccent","error.y","trial"
3620,"default","the 2020 election was rigged","list1","list1-D","conservative",0.05,6934,25,"D","2020_election","C","D",NA,"default","Stereotypes surrounding Democrat and Republican beliefs.","No",40,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.52,NA,"white","KS",NA,NA,22
3591,"default","the 2020 election was rigged","list1","list1-D","conservative",0.15,9408,7,"D","2020_election","C","D",NA,"default","Political Beliefs","No",27,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.65,NA,"white","SC","N/A",NA,4
3595,"default","the 2020 election was rigged","list1","list1-R","conservative",0.64,9917,24,"R","2020_election","C","R",NA,"default","Perceptions of the 'opposing' party beliefs","Yes",33,"Yes",NA,4,"Female",5,"English",NA,"Dem",0.13,"Jewish","white","FL","Lower midlands/appalacian",NA,21
3596,"default","the 2020 election was rigged","list1","list1-D","conservative",0.18,4449,22,"D","2020_election","C","D",NA,"default","if your accent reflects your political views","No",19,"Yes",NA,1,"Female",1,"English",NA,"Dem",0.31,NA,"white","NC","Southern",NA,19
3605,"default","the 2020 election was rigged","list1","list1-R","conservative",0.81,4583,20,"R","2020_election","C","R",NA,"default","I have no idea","No",40,"Yes",NA,2,"Male",0,"English",NA,"Dem",0,NA,"white","NC",NA,NA,17
3609,"default","the 2020 election was rigged","list1","list1-D","conservative",0,5312,17,"D","2020_election","C","D",NA,"default","Stereotypes of party views","No",29,"Yes",NA,4,"Female",3,"English",NA,"Dem",0.11,NA,"white","AK",NA,NA,14
3612,"default","the 2020 election was rigged","list1","list1-R","conservative",1,4790,7,"R","2020_election","C","R",NA,"default","Different views of the political parties","Yes",20,"Yes",NA,2,"Female",0,"English",NA,"Rep",0.8,NA,"white","KS","Midwestern",NA,4
3615,"default","the 2020 election was rigged","list1","list1-R","conservative",0.73,6447,17,"R","2020_election","C","R",NA,"default","alignment with established political mindsets","No",37,"Yes",NA,4,"Female",6,"English",NA,"Dem",0.27,NA,"white","MA",NA,NA,14
3621,"default","the 2020 election was rigged","list1","list1-R","conservative",0.7,5197,23,"R","2020_election","C","R",NA,"default","Perceptions of beliefs and values of members of political parties.","No",32,"Yes",NA,3,"Male",5,"English",NA,"Lib",0.63,NA,"white","CA",NA,NA,20
3622,"default","the 2020 election was rigged","list1","list1-D","conservative",0,5956,7,"D","2020_election","C","D",NA,"default","The typical views of Republicans and Democrats. Both are garbage","No",42,"Yes",NA,2,"Male",1,"English","Dem Socialist/Socialist","Other",0,NA,"white","AZ","None",NA,4
3623,"default","the 2020 election was rigged","list1","list1-D","conservative",0.05,4399,6,"D","2020_election","C","D",NA,"default","I believe it is to see how people from certain political parties view the democratic and republican parties.","Yes",19,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","MS","Southern/Country",NA,3
3624,"default","the 2020 election was rigged","list1","list1-D","conservative",0.08,5489,17,"D","2020_election","C","D",NA,"default","How likely I believe a certain political party is to believe in a given policy.","No",42,"Yes","no thank you",3,"Male",5,"english",NA,"Dem",0.36,NA,"white","MN",NA,NA,14
3625,"default","the 2020 election was rigged","list1","list1-R","conservative",0.95,4209,23,"R","2020_election","C","R",NA,"default","politics","Yes",22,"Yes","n/a",2,"Male",3,"English",NA,"Rep",0.69,NA,"white","WI","midwestern",NA,20
3626,"default","the 2020 election was rigged","list1","list1-R","conservative",0.7,4221,14,"R","2020_election","C","R",NA,"default","democrats and republicans","No",25,"Yes",NA,1,"Female",2,"english",NA,"Lib",0.18,NA,"white",NA,NA,NA,11
3627,"default","the 2020 election was rigged","list1","list1-R","conservative",0.99,4047,5,"R","2020_election","C","R",NA,"default","Seeing what we believe about others based on our personal beliefs","No",24,"Yes",NA,3,"Female",4,"English",NA,"Dem",0.32,NA,"white","OR",NA,NA,2
3628,"default","the 2020 election was rigged","list1","list1-R","conservative",0.98,6360,8,"R","2020_election","C","R",NA,"default","How polarized our country currently is in regards to social/economic issues. I think this survey is trying to create a correlation between party affiliations and attitudes towards certain issues.","Yes",24,"Yes","I think this survey is continuing to show that there is a divide in the nation, but labeling people as leaning more towards the left or right is not going to solve anything. Issues should be handled on their merits, not by what one party thinks is right as opposed to another.",4,"Female",3,"english, armenian",NA,"Rep",0.65,"armenian",NA,"CA","armenian",NA,5
