workerid,proliferate.condition,CC,list,list_firstSocCond,orientation,response,rt,slide_number_in_experiment,socialCondition,topic,trigger_class,whichSocConditionFirst,error
3611,default,the 2020 election was rigged,list1,list1-D,conservative,0.69,5338,18,D,2020_election,C,D,
3620,default,the 2020 election was rigged,list1,list1-D,conservative,0.05,6934,25,D,2020_election,C,D,
3588,default,the 2020 election was rigged,list1,list1-R,conservative,0.96,3526,19,R,2020_election,C,R,
3591,default,the 2020 election was rigged,list1,list1-D,conservative,0.15,9408,7,D,2020_election,C,D,
3595,default,the 2020 election was rigged,list1,list1-R,conservative,0.64,9917,24,R,2020_election,C,R,
3596,default,the 2020 election was rigged,list1,list1-D,conservative,0.18,4449,22,D,2020_election,C,D,
3605,default,the 2020 election was rigged,list1,list1-R,conservative,0.81,4583,20,R,2020_election,C,R,
3608,default,the 2020 election was rigged,list1,list1-R,conservative,0.99,4740,6,R,2020_election,C,R,
3609,default,the 2020 election was rigged,list1,list1-D,conservative,0,5312,17,D,2020_election,C,D,
3612,default,the 2020 election was rigged,list1,list1-R,conservative,1,4790,7,R,2020_election,C,R,
3615,default,the 2020 election was rigged,list1,list1-R,conservative,0.73,6447,17,R,2020_election,C,R,
3619,default,the 2020 election was rigged,list1,list1-R,conservative,0.56,4783,10,R,2020_election,C,R,
3621,default,the 2020 election was rigged,list1,list1-R,conservative,0.7,5197,23,R,2020_election,C,R,
3622,default,the 2020 election was rigged,list1,list1-D,conservative,0,5956,7,D,2020_election,C,D,
3623,default,the 2020 election was rigged,list1,list1-D,conservative,0.05,4399,6,D,2020_election,C,D,
3624,default,the 2020 election was rigged,list1,list1-D,conservative,0.08,5489,17,D,2020_election,C,D,
3625,default,the 2020 election was rigged,list1,list1-R,conservative,0.95,4209,23,R,2020_election,C,R,
3626,default,the 2020 election was rigged,list1,list1-R,conservative,0.7,4221,14,R,2020_election,C,R,
3627,default,the 2020 election was rigged,list1,list1-R,conservative,0.99,4047,5,R,2020_election,C,R,
3628,default,the 2020 election was rigged,list1,list1-R,conservative,0.98,6360,8,R,2020_election,C,R,
3693,default,the 2020 election was rigged,list1,list1-D,conservative,0.04,7815,17,D,2020_election,C,D,
3694,default,the 2020 election was rigged,list1,list1-D,conservative,0.19,7123,6,D,2020_election,C,D,
3592,default,the 2020 election was legitimate,list2,list2-D,liberal,0.9,13824,12,D,2020_election,C,D,
3598,default,the 2020 election was legitimate,list2,list2-D,liberal,0.44,4073,8,D,2020_election,C,D,
3614,default,the 2020 election was legitimate,list2,list2-R,liberal,0.24,15360,4,R,2020_election,C,R,
3586,default,the 2020 election was legitimate,list2,list2-D,liberal,1,11683,23,D,2020_election,C,D,
3587,default,the 2020 election was legitimate,list2,list2-D,liberal,0.9,4796,16,D,2020_election,C,D,
3589,default,the 2020 election was legitimate,list2,list2-R,liberal,0.37,4894,15,R,2020_election,C,R,
3590,default,the 2020 election was legitimate,list2,list2-D,liberal,1,5005,6,D,2020_election,C,D,
3593,default,the 2020 election was legitimate,list2,list2-R,liberal,0.29,5717,15,R,2020_election,C,R,
3594,default,the 2020 election was legitimate,list2,list2-D,liberal,0.68,3689,17,D,2020_election,C,D,
3597,default,the 2020 election was legitimate,list2,list2-R,liberal,0.31,6224,13,R,2020_election,C,R,
3599,default,the 2020 election was legitimate,list2,list2-R,liberal,0.62,5056,15,R,2020_election,C,R,
3600,default,the 2020 election was legitimate,list2,list2-D,liberal,0.99,6580,5,D,2020_election,C,D,
3601,default,the 2020 election was legitimate,list2,list2-D,liberal,0.97,5053,20,D,2020_election,C,D,
3602,default,the 2020 election was legitimate,list2,list2-R,liberal,0.35,5960,22,R,2020_election,C,R,
3603,default,the 2020 election was legitimate,list2,list2-D,liberal,0.99,6468,17,D,2020_election,C,D,
3604,default,the 2020 election was legitimate,list2,list2-R,liberal,0.3,7503,7,R,2020_election,C,R,
3606,default,the 2020 election was legitimate,list2,list2-D,liberal,0.9,4035,10,D,2020_election,C,D,
3607,default,the 2020 election was legitimate,list2,list2-R,liberal,0.04,113780,22,R,2020_election,C,R,
3610,default,the 2020 election was legitimate,list2,list2-D,liberal,0.93,5734,20,D,2020_election,C,D,
3613,default,the 2020 election was legitimate,list2,list2-R,liberal,0.05,7963,7,R,2020_election,C,R,
3611,default,it is too easy to get an abortion,list1,list1-D,conservative,0.28,8179,9,D,abortion,C,D,
3620,default,it is too easy to get an abortion,list1,list1-D,conservative,0.14,9001,8,D,abortion,C,D,
3588,default,it is too easy to get an abortion,list1,list1-R,conservative,0.84,3789,17,R,abortion,C,R,
3591,default,it is too easy to get an abortion,list1,list1-D,conservative,0.18,11416,10,D,abortion,C,D,
3595,default,it is too easy to get an abortion,list1,list1-R,conservative,0.79,3404,16,R,abortion,C,R,
3596,default,it is too easy to get an abortion,list1,list1-D,conservative,0.35,7635,21,D,abortion,C,D,
3605,default,it is too easy to get an abortion,list1,list1-R,conservative,0.9,4639,14,R,abortion,C,R,
3608,default,it is too easy to get an abortion,list1,list1-R,conservative,0.28,8006,11,R,abortion,C,R,
3609,default,it is too easy to get an abortion,list1,list1-D,conservative,0.2,8206,4,D,abortion,C,D,
3612,default,it is too easy to get an abortion,list1,list1-R,conservative,0.7,6017,18,R,abortion,C,R,
3615,default,it is too easy to get an abortion,list1,list1-R,conservative,0.81,5834,24,R,abortion,C,R,
3619,default,it is too easy to get an abortion,list1,list1-R,conservative,0.5,2992,23,R,abortion,C,R,
