"workerid","proliferate.condition.x","SpeakerGender","list","list_firstSocCond","name","response","rt","slide_number_in_experiment","socialCondition","socialInfo","socialInfo_code","trigger_class","whichSocConditionFirst","error.x","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_asian","race_black","race_hawaiian","race_latino","race_native","race_otherRaceCheck","race_otherRaceText","race_white","state","whichAccent","error.y","trial"
3642,"default","M","list2","list2-D","Paul",0.43,25901,4,"R","southern","S","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,1
3642,"default","M","list2","list2-D","Eric",0.77,7326,5,"D","non-southern","N","Empty","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,2
3642,"default","F","list2","list2-D","Helen",0.99,7047,6,"D","non-southern","N","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,3
3642,"default","M","list2","list2-D","Kenneth",0.43,8623,7,"R","non-southern","N","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,4
3642,"default","F","list2","list2-D","Amanda",0.01,18791,8,"R","Democrat","D","Party","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,5
3642,"default","F","list2","list2-D","Jennifer",0.74,10543,9,"D","non-southern","N","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,6
3642,"default","M","list2","list2-D","Jeff",0.71,10246,10,"D","southern","S","Empty","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,7
3642,"default","F","list2","list2-D","Rebecca",0.02,7447,11,"R","non-southern","N","Empty","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,8
3642,"default","M","list2","list2-D","Justin",1,8047,12,"D","Democrat","D","Party","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,9
3642,"default","F","list2","list2-D","Ashley",0.72,15967,13,"R","southern","S","C","D",NA,"default","To see how people are perceived or to see how judgmental people are??","No",48,"Yes",NA,1,"Male",0,"French (Maine)",NA,"Rep",0.52,0,0,0,0,0,0,NA,1,"CT",NA,NA,10
