workerid,proliferate.condition,SpeakerGender,list,list_firstSocCond,name,response,rt,slide_number_in_experiment,socialCondition,socialInfo,socialInfo_code,trigger_class,whichSocConditionFirst,error
3647,default,M,list1,list1-R,Eric,0.62,17276,4,R,non-southern,N,Empty,R,
3647,default,M,list1,list1-R,Scott,0.67,6832,5,D,non-southern,N,C,R,
3647,default,F,list1,list1-R,Lisa,0.89,9832,6,D,non-southern,N,C,R,
3647,default,F,list1,list1-R,Rachel,0.91,5680,7,R,southern,S,C,R,
3647,default,M,list1,list1-R,Andrew,1,5040,8,R,southern,S,C,R,
3647,default,F,list1,list1-R,Rebecca,0.27,4440,9,D,non-southern,N,Empty,R,
3647,default,M,list1,list1-R,Tim,0.16,4784,10,R,non-southern,N,C,R,
3647,default,M,list1,list1-R,William,0.73,8064,11,D,non-southern,N,C,R,
3647,default,M,list1,list1-R,Joseph,0.97,4383,12,R,southern,S,C,R,
3647,default,F,list1,list1-R,Emily,0,3295,13,R,non-southern,N,C,R,
3647,default,F,list1,list1-R,Stephanie,0,7296,14,D,Republican,R,Party,R,
3647,default,M,list1,list1-R,Jeff,0.89,4320,15,R,southern,S,Empty,R,
3647,default,F,list1,list1-R,Jessica,0.77,9223,16,R,non-southern,N,C,R,
3647,default,M,list1,list1-R,Patrick,1,4095,17,R,Republican,R,Party,R,
3647,default,F,list1,list1-R,Haley,0.15,3728,18,D,southern,S,C,R,
3647,default,M,list1,list1-R,Ryan,0.07,3760,19,D,southern,S,C,R,
3647,default,M,list1,list1-R,Justin,0,3912,20,R,Democrat,D,Party,R,
3647,default,F,list1,list1-R,Sarah,0.9,5359,21,R,southern,S,C,R,
3647,default,F,list1,list1-R,Elizabeth,0.88,5431,22,D,non-southern,N,C,R,
3647,default,M,list1,list1-R,Michael,0.12,4631,23,D,southern,S,C,R,
3647,default,F,list1,list1-R,Donna,0.09,3775,24,D,southern,S,C,R,
3647,default,M,list1,list1-R,David,0.74,5614,25,R,non-southern,N,C,R,
3647,default,F,list1,list1-R,Angela,0.15,4015,26,D,southern,S,Empty,R,
3647,default,F,list1,list1-R,Amanda,1,7576,27,D,Democrat,D,Party,R,
3642,default,M,list2,list2-D,Paul,0.43,25901,4,R,southern,S,C,D,
3642,default,M,list2,list2-D,Eric,0.77,7326,5,D,non-southern,N,Empty,D,
3642,default,F,list2,list2-D,Helen,0.99,7047,6,D,non-southern,N,C,D,
3642,default,M,list2,list2-D,Kenneth,0.43,8623,7,R,non-southern,N,C,D,
3642,default,F,list2,list2-D,Amanda,0.01,18791,8,R,Democrat,D,Party,D,
3642,default,F,list2,list2-D,Jennifer,0.74,10543,9,D,non-southern,N,C,D,
3642,default,M,list2,list2-D,Jeff,0.71,10246,10,D,southern,S,Empty,D,
